munic_cp,munic_name,year,population_total,births,deaths,foreigns,migrations,mean_age,number_realestate,number_hostelry,number_entertainment,number_building,sale_price_m2,rent_price_m2,employment_total,employment_building,employment_commerce,employment_hostelry,employment_services,unemployment_total,income_per_household,income_per_person,number_crimes,open_establishments,tourism_spending
38010,Buenavista del Norte,2019-01-01,4778,25,49,242,40,46.4,0,36,2,6,1986.0,8.6,4930,176,465,1263,3286,5965,28633.0,10184.0,3269,33,968.0
38010,Buenavista del Norte,2018-01-01,4755,31,53,203,63,46.1,0,34,1,5,1631.0,7.7,4798,190,459,1128,3083,6133,27169.0,9670.0,3269,33,968.0
38010,Buenavista del Norte,2017-01-01,4797,24,49,200,13,45.7,0,34,1,5,1658.0,6.6,3566,150,348,788,2249,4799,25994.0,9194.0,3269,33,968.0
38011,Candelaria,2021-01-01,28463,134,186,2036,194,42.3,15,101,14,65,2746.0,9.0,6805,562,1231,964,5747,7680,39996.0,15778.0,583,33,968.0
38011,Candelaria,2020-01-01,28383,174,192,2113,170,41.8,16,99,12,66,2746.0,9.1,26083,2285,5021,3709,21888,31483,38350.0,15002.0,3269,33,968.0
38011,Candelaria,2019-01-01,27985,196,172,1914,307,41.4,17,106,12,63,2746.0,8.6,30612,2679,5333,4500,23118,27375,37872.0,14752.0,3269,33,968.0
38011,Candelaria,2018-01-01,27641,186,160,1850,447,41.0,17,108,10,61,2746.0,7.7,31629,2566,5386,4381,23270,27184,35641.0,13987.0,3269,33,968.0
38011,Candelaria,2017-01-01,27149,223,158,1703,493,40.6,18,108,11,59,2746.0,6.6,23574,1959,4055,3301,17137,21532,33796.0,13239.0,3269,33,968.0
38012,Fasnia,2021-01-01,2807,14,28,195,22,47.3,1,11,1,5,2372.0,9.0,444,36,122,78,344,842,32378.0,13731.0,3269,33,968.0
38012,Fasnia,2020-01-01,2818,14,38,193,21,46.9,1,13,1,6,1821.0,9.1,1645,151,410,308,1270,3492,31242.0,13225.0,3269,33,968.0
38012,Fasnia,2019-01-01,2786,16,41,162,42,47.0,1,13,2,6,1986.0,8.6,1703,168,427,337,1307,3005,30888.0,12891.0,3269,33,968.0
38012,Fasnia,2018-01-01,2768,15,39,105,55,47.3,1,12,1,3,1631.0,7.7,1542,91,411,306,1227,2914,29366.0,12300.0,3269,33,968.0
38012,Fasnia,2017-01-01,2743,13,24,92,58,46.9,0,11,1,3,1658.0,6.6,1134,53,266,223,912,2362,29299.0,12306.0,3269,33,968.0
38015,Garachico,2021-01-01,4895,13,40,286,60,47.3,0,47,2,9,2372.0,9.0,1104,64,135,312,832,1658,31495.0,11329.0,3269,33,968.0
38015,Garachico,2020-01-01,4869,29,39,258,37,47.1,0,46,2,7,1821.0,9.1,4152,199,568,978,3092,6980,30539.0,10790.0,3269,33,968.0
38015,Garachico,2019-01-01,4871,26,61,223,80,46.7,0,47,2,6,1986.0,8.6,4099,189,533,1006,3049,5824,31190.0,10908.0,3269,33,968.0
38015,Garachico,2018-01-01,4819,40,52,213,104,46.4,0,49,2,5,1631.0,7.7,4088,155,529,1042,3088,5818,29949.0,10437.0,3269,33,968.0
38015,Garachico,2017-01-01,4827,36,60,184,11,46.5,0,49,2,5,1658.0,6.6,3033,119,408,846,2306,4776,28545.0,9961.0,3269,33,968.0
38017,Granadilla de Abona,2021-01-01,51850,352,298,12453,743,39.0,38,195,25,152,1829.0,8.3,12975,1245,1970,1639,10155,18512,30815.0,10899.0,2152,4,968.0
38017,Granadilla de Abona,2020-01-01,51233,393,228,12286,564,38.3,37,184,26,139,3541.0,9.3,47258,4431,7593,5739,36922,76690,29664.0,10282.0,2097,4,968.0
38017,Granadilla de Abona,2019-01-01,50146,424,201,11904,1663,38.1,41,196,33,138,1667.0,8.9,52215,4529,8234,6659,41574,52822,31674.0,10861.0,2011,13,968.0
38017,Granadilla de Abona,2018-01-01,48374,438,223,10851,2239,37.9,38,202,34,138,2119.0,8.6,50909,4785,8110,6436,40110,52236,29732.0,10255.0,1798,13,968.0
38017,Granadilla de Abona,2017-01-01,46816,434,241,10116,1914,37.6,35,201,33,122,2119.0,6.6,36035,3399,5704,4665,28634,41402,28081.0,9787.0,1856,17,968.0
38018,La Guancha,2021-01-01,5553,29,47,258,21,45.1,0,12,2,18,2372.0,9.0,1135,105,264,90,864,1745,31511.0,11239.0,3269,33,968.0
38018,La Guancha,2020-01-01,5540,31,66,270,30,44.8,0,11,1,18,1821.0,9.1,4265,416,975,320,3195,7364,30466.0,10758.0,3269,33,968.0
38018,La Guancha,2019-01-01,5520,26,57,242,23,44.4,0,11,1,20,1986.0,8.6,4279,447,1034,327,3168,6635,30385.0,10570.0,3269,33,968.0
38018,La Guancha,2018-01-01,5428,46,56,202,110,43.9,0,12,1,18,1631.0,7.7,4055,483,1028,330,2904,6934,28848.0,9994.0,3269,33,968.0
38018,La Guancha,2017-01-01,5426,30,49,161,13,43.4,0,11,0,16,1658.0,6.6,2983,333,725,234,2110,5483,27189.0,9485.0,3269,33,968.0
38019,Guía de Isora,2021-01-01,21827,153,163,4928,-297,41.2,8,105,8,47,6089.0,9.0,6964,489,775,2480,4883,6989,29609.0,10581.0,957,4,968.0
38019,Guía de Isora,2020-01-01,21796,139,160,4934,209,40.7,8,102,8,44,1760.0,9.1,25234,2016,2761,8492,17055,28443,28450.0,10009.0,3269,3,968.0
38019,Guía de Isora,2019-01-01,21368,160,125,4714,653,40.4,9,113,11,44,1954.0,8.6,26314,2231,3000,9709,18867,20908,30389.0,10646.0,3269,6,968.0
38019,Guía de Isora,2018-01-01,20991,190,132,4463,787,40.3,9,114,8,47,1954.0,7.7,25371,2105,3185,9368,18701,20581,29132.0,10174.0,3269,6,968.0
38019,Guía de Isora,2017-01-01,20537,189,127,4157,715,40.2,8,112,8,43,1954.0,6.6,17796,1323,2549,6294,13179,16108,27416.0,9635.0,3269,8,968.0
38020,Güímar,2021-01-01,21000,132,171,1408,61,42.8,4,55,12,60,1265.0,8.3,5667,471,1992,313,4424,7263,34127.0,12730.0,474,33,968.0
38020,Güímar,2020-01-01,20662,143,174,1324,174,42.6,4,56,12,56,2100.0,8.2,18356,1955,4469,1236,13530,30379,32436.0,12001.0,3269,33,968.0
38020,Güímar,2019-01-01,20190,125,181,1092,290,42.3,6,62,14,55,547.0,7.5,18956,2087,4438,1295,13912,26467,32354.0,11909.0,3269,33,968.0
38020,Güímar,2018-01-01,19739,144,184,962,567,42.2,4,63,12,50,547.0,7.5,17745,1786,4447,1242,13221,26125,30568.0,11245.0,3269,33,968.0
38020,Güímar,2017-01-01,19273,135,153,778,504,41.9,3,66,9,41,547.0,6.8,12610,1092,3307,994,9522,21116,28852.0,10670.0,3269,33,968.0
38022,Icod de los Vinos,2021-01-01,23310,131,225,1630,177,44.6,8,64,11,72,1511.0,9.0,5071,488,1714,458,3833,8994,29012.0,10569.0,336,33,968.0
38022,Icod de los Vinos,2020-01-01,23316,154,275,1649,168,44.4,7,63,10,69,984.0,9.1,19814,1924,6838,1537,15038,37247,27872.0,10023.0,3269,33,968.0
38022,Icod de los Vinos,2019-01-01,23254,140,212,1630,336,44.1,7,71,11,78,1449.0,8.6,21202,2184,7339,1773,15968,31173,28713.0,10194.0,3269,33,968.0
38022,Icod de los Vinos,2018-01-01,22749,148,205,1314,547,43.9,7,69,9,75,971.0,7.7,21355,2231,7481,1789,15928,32137,26995.0,9510.0,3269,33,968.0
38022,Icod de los Vinos,2017-01-01,22558,184,214,1149,290,43.7,6,67,7,65,971.0,6.6,15278,1555,5394,1285,11441,25235,26021.0,9139.0,3269,33,968.0
38023,San Cristóbal de La Laguna,2021-01-01,158010,886,1230,9437,759,42.9,105,549,121,403,1225.0,7.6,65174,4457,12099,4295,56911,54150,38226.0,14316.0,5330,3,968.0
38023,San Cristóbal de La Laguna,2020-01-01,158911,850,1192,10160,479,42.5,100,558,116,385,1237.0,7.5,242377,16558,46125,16623,210288,223995,36746.0,13603.0,5203,4,968.0
38023,San Cristóbal de La Laguna,2019-01-01,157503,932,1126,9446,2032,42.1,99,592,119,388,1206.0,6.8,244695,15194,50256,18019,214966,196332,36938.0,13438.0,6113,9,968.0
38023,San Cristóbal de La Laguna,2018-01-01,155549,986,1201,8394,1638,41.8,99,595,113,373,1128.0,6.4,236935,15453,50673,16683,206992,198798,35085.0,12717.0,5585,9,968.0
38023,San Cristóbal de La Laguna,2017-01-01,153655,1064,1073,7639,1996,41.5,100,584,106,352,1108.0,5.6,167999,10150,37031,12046,147443,155240,33463.0,12088.0,5683,11,968.0
