nombre,actividad_tipo,municipio_codigo,municipio_nombre,longitud,latitud,year
Zoe's Cafe,bar cafeteria,38017,Granadilla de Abona,-16.56302688,28.03316069,2017-01-01
Zoe,restaurante,38001,Adeje,-16.72298334,28.08438765,2017-01-01
Zodiac,bar,38035,San Miguel,-16.60108318,28.02917697,2017-01-01
Znaks,restaurante,38038,Santa Cruz de Tenerife,-16.25088568,28.47005503,2020-01-01
Znaks,restaurante,38038,Santa Cruz de Tenerife,-16.25088568,28.47005503,2019-01-01
Znaks,restaurante,38038,Santa Cruz de Tenerife,-16.25088568,28.47005503,2021-01-01
Znaks,restaurante,38038,Santa Cruz de Tenerife,-16.25088568,28.47005503,2017-01-01
Znaks,restaurante,38038,Santa Cruz de Tenerife,-16.25088568,28.47005503,2016-01-01
Znaks,restaurante,38038,Santa Cruz de Tenerife,-16.25088568,28.47005503,2018-01-01
Znaks,restaurante,38038,Santa Cruz de Tenerife,-16.25088568,28.47005503,2022-01-01
Zm Atre,hogar muebles electrodomesticos decoracion,38031,Los Realejos,-16.56598716,28.38626656,2016-01-01
Zm Atre,hogar muebles electrodomesticos decoracion,38031,Los Realejos,-16.56598716,28.38626656,2023-01-01
Zm Atre,hogar muebles electrodomesticos decoracion,38031,Los Realejos,-16.56598716,28.38626656,2022-01-01
Zm Atre,hogar muebles electrodomesticos decoracion,38031,Los Realejos,-16.56598716,28.38626656,2018-01-01
Zm Atre,hogar muebles electrodomesticos decoracion,38031,Los Realejos,-16.56598716,28.38626656,2017-01-01
Zm Atre,hogar muebles electrodomesticos decoracion,38031,Los Realejos,-16.56598716,28.38626656,2021-01-01
Zm Atre,hogar muebles electrodomesticos decoracion,38031,Los Realejos,-16.56598716,28.38626656,2020-01-01
Zm Atre,hogar muebles electrodomesticos decoracion,38031,Los Realejos,-16.56598716,28.38626656,2019-01-01
Zizzi's Bar,bar,38006,Arona,-16.71129086,28.05495405,2016-01-01
Zizzi's Bar,bar,38006,Arona,-16.71129086,28.05495405,2017-01-01
Zipi y Zape,restaurante,38022,Icod de los Vinos,-16.708695,28.37410488,2017-01-01
Zipi y Zape,bar cafeteria,38023,La Laguna,-16.300041,28.44583099,2018-01-01
Zipi y Zape,bar cafeteria,38023,La Laguna,-16.300041,28.44583099,2016-01-01
Zipi y Zape,bar cafeteria,38023,La Laguna,-16.300041,28.44583099,2017-01-01
Zipango Travel,agencia de viajes,38038,Santa Cruz de Tenerife,-16.2516465,28.46709842,2018-01-01
Zipango Travel,agencia de viajes,38038,Santa Cruz de Tenerife,-16.2516465,28.46709842,2022-01-01
Zipango Travel,agencia de viajes,38038,Santa Cruz de Tenerife,-16.2516465,28.46709842,2021-01-01
Zipango Travel,agencia de viajes,38038,Santa Cruz de Tenerife,-16.2516465,28.46709842,2016-01-01
Zipango Travel,agencia de viajes,38038,Santa Cruz de Tenerife,-16.2516465,28.46709842,2017-01-01
Zipango Travel,agencia de viajes,38038,Santa Cruz de Tenerife,-16.2516465,28.46709842,2020-01-01
Zipango Travel,agencia de viajes,38038,Santa Cruz de Tenerife,-16.2516465,28.46709842,2019-01-01
Zioseba,restaurante pizzeria,38006,Arona,-16.72462025,28.0568355,2017-01-01
Zion Bar,bar,38006,Arona,-16.72045798,28.05163597,2016-01-01
Zion Bar,bar,38006,Arona,-16.72045798,28.05163597,2017-01-01
Zillertal Tenne,bar,38006,Arona,-16.64830785,28.01248939,2016-01-01
Zigzag,bar cafeteria,38038,Santa Cruz de Tenerife,-16.25180235,28.46942338,2017-01-01
Zigzag,bar cafeteria,38038,Santa Cruz de Tenerife,-16.25180235,28.46942338,2016-01-01
Ziggy,mascotas,38023,La Laguna,-16.30606966,28.44792606,2016-01-01
Zeus,bar cafeteria,38001,Adeje,-16.7323959,28.07123233,2017-01-01
