TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2019	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Construcción	138			
2018	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Construcción	138			
2017	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Construcción	122			
2023	Empresa inscrita en la Seguridad Social	La Guancha	Construcción	21			
2022	Empresa inscrita en la Seguridad Social	La Guancha	Construcción	19			
2021	Empresa inscrita en la Seguridad Social	La Guancha	Construcción	18			
2020	Empresa inscrita en la Seguridad Social	La Guancha	Construcción	18			
2019	Empresa inscrita en la Seguridad Social	La Guancha	Construcción	20			
2018	Empresa inscrita en la Seguridad Social	La Guancha	Construcción	18			
2017	Empresa inscrita en la Seguridad Social	La Guancha	Construcción	16			
2023	Empresa inscrita en la Seguridad Social	Guía de Isora	Construcción	54			
2022	Empresa inscrita en la Seguridad Social	Guía de Isora	Construcción	51			
2021	Empresa inscrita en la Seguridad Social	Guía de Isora	Construcción	47			
2020	Empresa inscrita en la Seguridad Social	Guía de Isora	Construcción	44			
2019	Empresa inscrita en la Seguridad Social	Guía de Isora	Construcción	44			
2018	Empresa inscrita en la Seguridad Social	Guía de Isora	Construcción	47			
2017	Empresa inscrita en la Seguridad Social	Guía de Isora	Construcción	43			
2023	Empresa inscrita en la Seguridad Social	Güímar	Construcción	65			
2022	Empresa inscrita en la Seguridad Social	Güímar	Construcción	60			
2021	Empresa inscrita en la Seguridad Social	Güímar	Construcción	60			
2020	Empresa inscrita en la Seguridad Social	Güímar	Construcción	56			
2019	Empresa inscrita en la Seguridad Social	Güímar	Construcción	55			
2018	Empresa inscrita en la Seguridad Social	Güímar	Construcción	50			
2017	Empresa inscrita en la Seguridad Social	Güímar	Construcción	41			
2023	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Construcción	69			
2022	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Construcción	73			
2021	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Construcción	72			
2020	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Construcción	69			
2019	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Construcción	78			
2018	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Construcción	75			
2017	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Construcción	65			
2023	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Construcción	415			
2022	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Construcción	417			
2021	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Construcción	403			
2020	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Construcción	385			
2019	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Construcción	388			
2018	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Construcción	373			
2017	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Construcción	352			
2023	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Construcción	32			
2022	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Construcción	32			
2021	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Construcción	30			
2020	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Construcción	29			
2019	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Construcción	32			
2018	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Construcción	35			
2017	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Construcción	28			
2023	Empresa inscrita en la Seguridad Social	La Orotava	Construcción	172			
2022	Empresa inscrita en la Seguridad Social	La Orotava	Construcción	165			
