TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2022	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Actividades artísticas, recreativas y de entretenimiento	26			
2021	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Actividades artísticas, recreativas y de entretenimiento	25			
2020	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Actividades artísticas, recreativas y de entretenimiento	26			
2019	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Actividades artísticas, recreativas y de entretenimiento	33			
2018	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Actividades artísticas, recreativas y de entretenimiento	34			
2017	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Actividades artísticas, recreativas y de entretenimiento	33			
2016	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Actividades artísticas, recreativas y de entretenimiento	32			
2015	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Actividades artísticas, recreativas y de entretenimiento	31			
2023	Empresa inscrita en la Seguridad Social	La Guancha	Actividades artísticas, recreativas y de entretenimiento	4			
2022	Empresa inscrita en la Seguridad Social	La Guancha	Actividades artísticas, recreativas y de entretenimiento	3			
2021	Empresa inscrita en la Seguridad Social	La Guancha	Actividades artísticas, recreativas y de entretenimiento	2			
2020	Empresa inscrita en la Seguridad Social	La Guancha	Actividades artísticas, recreativas y de entretenimiento	1			
2019	Empresa inscrita en la Seguridad Social	La Guancha	Actividades artísticas, recreativas y de entretenimiento	1			
2018	Empresa inscrita en la Seguridad Social	La Guancha	Actividades artísticas, recreativas y de entretenimiento	1			
2017	Empresa inscrita en la Seguridad Social	La Guancha	Actividades artísticas, recreativas y de entretenimiento	0			
2016	Empresa inscrita en la Seguridad Social	La Guancha	Actividades artísticas, recreativas y de entretenimiento	0			
2015	Empresa inscrita en la Seguridad Social	La Guancha	Actividades artísticas, recreativas y de entretenimiento	1			
2023	Empresa inscrita en la Seguridad Social	Guía de Isora	Actividades artísticas, recreativas y de entretenimiento	14			
2022	Empresa inscrita en la Seguridad Social	Guía de Isora	Actividades artísticas, recreativas y de entretenimiento	11			
2021	Empresa inscrita en la Seguridad Social	Guía de Isora	Actividades artísticas, recreativas y de entretenimiento	8			
2020	Empresa inscrita en la Seguridad Social	Guía de Isora	Actividades artísticas, recreativas y de entretenimiento	8			
2019	Empresa inscrita en la Seguridad Social	Guía de Isora	Actividades artísticas, recreativas y de entretenimiento	11			
2018	Empresa inscrita en la Seguridad Social	Guía de Isora	Actividades artísticas, recreativas y de entretenimiento	8			
2017	Empresa inscrita en la Seguridad Social	Guía de Isora	Actividades artísticas, recreativas y de entretenimiento	8			
